BdprotoID,LanguageName,Glottocode,Macro-Area,LanguageFamily,InventoryType,TimeDepthYBP,TimeDepth,Homeland,HomelandSource,MetadataNotes,BibtexKey,Contributor,Checked by
63,Proto-Mixe-Zoquean,mixe1284,North America,Mixe-Zoque or Totozoquean,,,,,,,BrownEtAl2011,Eitan Grossman,
64,Proto-Totozoquean,,North America,Totozoquean,,,,,,,BrownEtAl2011,Eitan Grossman,
65,Proto-Tol (Jicaque),jica1245,North America,Jicaquean,,,,,,,CampbellOltrogge1980,Eitan Grossman,
66,Proto-Tukanoan,tuca1253,South America,Tucanoan,,,,,,,Chacon2014,Eitan Grossman,
67,Proto-Tsimshian,tsim1258,North America,Tsimshian,,,,,,,Tarpent1997,Eitan Grossman,
68,Proto-Kra,kada1291,Eurasia,Tai-Kadai,,,,,,check also Miyake2008,Ostapirat2000,Eitan Grossman,
69,Proto-Tai,,Eurasia,Tai-Kadai,,,,,,,Pittayaporn2009,Eitan Grossman,
70,Proto-Hlai,hlai1238,Eurasia,Tai-Kadai,,,,,,"check also Norquest2007, very different",Ostapirat2004,Eitan Grossman,
71,Proto-Berber,berb1260,Africa,Afroasiatic,,,,,,,KoosmannPC2018,Eitan Grossman,
72,Proto-Skou,nucl1634,Papunesia,Sko,,,,,,,Donohue2002,Eitan Grossman,
73,Common Slavic,slav1255,Eurasia,Indo-European,,,,,,,Hock2003a,Hanan Amouyal,
74,Proto-Iroquoian,iroq1247,North America,Iroquoian,,,,,,,Julian2010,Eitan Grossman,
75,Common Cherokee,cher1273,North America,Iroquoian,,,,,,,Julian2010,Eitan Grossman,
76,Proto-Northern Iroquoian,nort2947,North America,Iroquoian,,,,,,,Julian2010,Eitan Grossman,
77,Proto-Tuscarora-Nottoway,tusc1256,North America,Iroquoian,,,,,,,Julian2010,Eitan Grossman,
78,Common Tuscarora,tusc1257,North America,Iroquoian,,,,,,,Julian2010,Eitan Grossman,
79,Proto-Mohawk-Oneida,moha1257,North America,Iroquoian,,,,,,,Julian2010,Eitan Grossman,
80,Common Mohawk,moha1258,North America,Iroquoian,,,,,,,Julian2010,Eitan Grossman,
81,Common Huron,huro1249,North America,Iroquoian,,,,,,,Julian2010,Eitan Grossman,
82,Proto-Finno-Saamic,,Eurasia,Uralic,,,,,,,,Lilja Saeboe,
