																														
	NUMClassement	APICodeEntier	APICode	SymboleAPI	Ajouter sous Excel	Champ1	Caracteristique	Theme	Type	CoordX	CoordY	NbTot	Selecte	Selecte1	CaractHex	Case 1	Case 2	Case 3	Case 4	Case 5	Case 6	Case 7	Case 8	Case 9	Case 10	Case 11	Case 12	Case 13	Case 14	Case 15
	308	592	kp	kp―	kp―	voiceless labial-velar stop	vl labvel stp		4	4	0107	35	FALSE	FALSE	006B00702015									vl	labvel				stp	
	309	593	kpW	kp―ŵ	kp―ŵ	labialized voiceless labial-velar stop	labzd vl labvel stp					1	FALSE	FALSE	006B007020150175			labzd						vl	labvel				stp	
	310	594	kph	kp―ĥ	kp―ĥ	voiceless aspirated labial-velar stop	vl aspirate labvel stp					1	FALSE	FALSE	006B007020150125							aspirate		vl	labvel				stp	
	311	236	Nmgb	ŋmg―b	ŋmg―b	prenasalized voiced labial-velar stop	prenazad vd labvel stp					6	FALSE	FALSE	014B006D006720150062								prenazad	vd	labvel				stp	
	312	466	gb	gb―	gb―	voiced labial-velar stop	vd labvel stp		4	5	0108	39	FALSE	FALSE	006700622015									vd	labvel				stp	
	313	467	gbW	gb―ŵ	gb―ŵ	labialized voiced labial-velar stop	labzd vd labvel stp					1	FALSE	FALSE	0067006220150175			labzd						vd	labvel				stp	
	314	968		gb―ĥ	gb―ĥ	aspirated voiced labial-velar stop	aspirate vd labvel stp						FALSE	FALSE	0067006220150125							aspirate		vd	labvel				stp	
	315	823	tDhh	t·Ĥ	t·Ĥ	voiceless dental stop with-breathy-release	vl dental stp wbr					1	FALSE	FALSE	007400B70124									vl	dental				stp	wbr
	316	682	ntD	n·t·	n·t·	prenasalized voiceless dental stop	prenazad vl dental stp					3	FALSE	FALSE	006E00B7007400B7								prenazad	vl	dental				stp	
	317	683	ntDh	n·t·ĥ	n·t·ĥ	prenasalized voiceless aspirated dental stop	prenazad vl aspirate dental stp					2	FALSE	FALSE	006E00B7007400B70125							aspirate	prenazad	vl	dental				stp	
	318	814	tD	t·	t·	voiceless dental stop	vl dental stp		4	6	0109	106	FALSE	FALSE	007400B7									vl	dental				stp	
	319	815	tD'	t·'	t·'	voiceless dental ejective stop	vl dental ejective stp					16	FALSE	FALSE	007400B70027									vl	dental		ejective		stp	
	320	816	tD*	t··	t··	creaky-voiced voiceless dental stop	creaky vl dental stp					1	FALSE	FALSE	007400B70387							creaky		vl	dental				stp	
	321	820	tD9	t·ſ	t·ſ	pharyngealized voiceless dental stop	pharzd vl dental stp					2	FALSE	FALSE	007400B7017F				pharzd					vl	dental				stp	
	322	821	tDJ	t·ĵ	t·ĵ	palatalized voiceless dental stop	palzd vl dental stp					2	FALSE	FALSE	007400B70135				palzd					vl	dental				stp	
	323	822	tDh	t·ĥ	t·ĥ	voiceless aspirated dental stop	vl aspirate dental stp					30	FALSE	FALSE	007400B70125							aspirate		vl	dental				stp	
	324	386	dD	d·	d·	voiced dental stop	vd dental stp		4	7	0110	80	FALSE	FALSE	006400B7									vd	dental				stp	
	325	387	dD*	d··	d··	creaky-voiced voiced dental stop	creaky vd dental stp					1	FALSE	FALSE	006400B70387							creaky		vd	dental				stp	
	326	389	dD9	d·ſ	d·ſ	pharyngealized voiced dental stop	pharzd vd dental stp					2	FALSE	FALSE	006400B7017F				pharzd					vd	dental				stp	
	327	391	dDJ	d·ĵ	d·ĵ	palatalized voiced dental stop	palzd vd dental stp					2	FALSE	FALSE	006400B70135				palzd					vd	dental				stp	
	328	393	dDn	d·ņ	d·ņ	nasal-release voiced dental stop	nasrel vd dental stp					1	FALSE	FALSE	006400B70146						nasrel			vd	dental				stp	
	329	664	ndD	n·d·	n·d·	prenasalized voiced dental stop	prenazad vd dental stp					6	FALSE	FALSE	006E00B7006400B7								prenazad	vd	dental				stp	
	330	392	dDh	d·΄	d·΄	breathy-voiced dental stop	breathy dental stp					5	FALSE	FALSE	006400B70384							breathy			dental				stp	
	331	845	thh	tĤ	tĤ	voiceless alveolar stop with-breathy-release	vl alveolar stp wbr					1	FALSE	FALSE	00740124									vl	alveolar				stp	wbr
	332	111	t*	t·	t·	creaky-voiced voiceless alveolar stop	creaky vl alveolar stp					2	FALSE	FALSE	00740387							creaky		vl	alveolar				stp	
	333	112	t-h	tĝĥ	tĝĥ	velarized voiceless aspirated alveolar stop	velzd vl aspirate alveolar stp					1	FALSE	FALSE	0074011D0125				velzd			aspirate		vl	alveolar				stp	
	334	113	t9	tſ	tſ	pharyngealized voiceless alveolar stop	pharzd vl alveolar stp					1	FALSE	FALSE	0074017F				pharzd					vl	alveolar				stp	
	335	116	tJh	tĵĥ	tĵĥ	palatalized voiceless aspirated alveolar stop	palzd vl aspirate alveolar stp					1	FALSE	FALSE	007401350125				palzd			aspirate		vl	alveolar				stp	
	336	117	tW	tŵ	tŵ	labialized voiceless alveolar stop	labzd vl alveolar stp					2	FALSE	FALSE	00740175			labzd						vl	alveolar				stp	
	337	118	tWh	tŵĥ	tŵĥ	labialized voiceless aspirated alveolar stop	labzd vl aspirate alveolar stp					1	FALSE	FALSE	007401750125			labzd				aspirate		vl	alveolar				stp	
	338	529	ht	ĥt	ĥt	voiceless preaspirated alveolar stop	vl preasp alveolar stp					1	FALSE	FALSE	01250074								preasp	vl	alveolar				stp	
	339	678	nt	nt	nt	prenasalized voiceless alveolar stop	prenazad vl alveolar stp					3	FALSE	FALSE	006E0074								prenazad	vl	alveolar				stp	
	340	799	t	t	t	voiceless alveolar stop	vl alveolar stp		4	8	0111	181	FALSE	FALSE	0074									vl	alveolar				stp	
	341	800	t'	t'	t'	voiceless alveolar ejective stop	vl alveolar ejective stp					24	FALSE	FALSE	00740027									vl	alveolar		ejective		stp	
	342	801	t-	tĝ	tĝ	velarized voiceless alveolar stop	velzd vl alveolar stp					1	FALSE	FALSE	0074011D				velzd					vl	alveolar				stp	
	343	812	t:	t►	t►	long voiceless alveolar stop	long vl alveolar stp					1	FALSE	FALSE	007425BA					long				vl	alveolar				stp	
	344	828	tJ	tĵ	tĵ	palatalized voiceless alveolar stop	palzd vl alveolar stp					3	FALSE	FALSE	00740135				palzd					vl	alveolar				stp	
	345	844	th	tĥ	tĥ	voiceless aspirated alveolar stop	vl aspirate alveolar stp					34	FALSE	FALSE	00740125							aspirate		vl	alveolar				stp	
	346	991		tĵ'	tĵ'	palatalized voiceless alveolar ejective stop	palzd vl alveolar ejective stp						FALSE	FALSE	007401350027				palzd					vl	alveolar		ejective		stp	
	347	21	d9	dſ	dſ	pharyngealized voiced alveolar stop	pharzd vd alveolar stp					1	FALSE	FALSE	0064017F				pharzd					vd	alveolar				stp	
	348	24	dW	dŵ	dŵ	labialized voiced alveolar stop	labzd vd alveolar stp					1	FALSE	FALSE	00640175			labzd						vd	alveolar				stp	
	349	67	ndW	ndŵ	ndŵ	prenasalized labialized voiced alveolar stop	prenazad labzd vd alveolar stp					1	FALSE	FALSE	006E00640175			labzd					prenazad	vd	alveolar				stp	
	350	374	d	d	d	voiced alveolar stop	vd alveolar stp		4	9	0112	120	FALSE	FALSE	0064									vd	alveolar				stp	
	351	375	d'	d'	d'	voiced alveolar ejective stop	vd alveolar ejective stp					1	FALSE	FALSE	00640027									vd	alveolar		ejective		stp	
	352	376	d*	d·	d·	creaky-voiced voiced alveolar stop	creaky vd alveolar stp					7	FALSE	FALSE	00640387							creaky		vd	alveolar				stp	
	353	377	d-	dĝ	dĝ	velarized voiced alveolar stop	velzd vd alveolar stp					1	FALSE	FALSE	0064011D				velzd					vd	alveolar				stp	
	354	395	dJ!	dĵ	dĵ	palatalized voiced alveolar stop	palzd vd alveolar stp					2	FALSE	FALSE	00640135				palzd					vd	alveolar				stp	
	355	415	dn	dņ	dņ	nasal-release voiced alveolar stop	nasrel vd alveolar stp					1	FALSE	FALSE	00640146						nasrel			vd	alveolar				stp	
	356	661	nd	nd	nd	prenasalized voiced alveolar stop	prenazad vd alveolar stp					26	FALSE	FALSE	006E0064								prenazad	vd	alveolar				stp	
	357	666	ndJ!	ndĵ	ndĵ	prenasalized palatalized voiced alveolar stop	prenazad palzd vd alveolar stp					1	FALSE	FALSE	006E00640135				palzd				prenazad	vd	alveolar				stp	
	358	927		?d	?d	preglottalized voiced alveolar stop	pglot vd alveolar stp						FALSE	FALSE	003F0064								pglot	vd	alveolar				stp	
	359	959		dĥ	dĥ	aspirated voiced alveolar stop	aspirate vd alveolar stp						FALSE	FALSE	00640125							aspirate		vd	alveolar				stp	
	360	25	dh	d΄	d΄	breathy-voiced alveolar stop	breathy alveolar stp					4	FALSE	FALSE	00640384							breathy			alveolar				stp	
	361	688	nt_	nˉtˉ	nˉtˉ	prenasalized voiceless postalveolar stop	prenazad vl postalveol stp					1	FALSE	FALSE	006E02C9007402C9								prenazad	vl	postalveol				stp	
	362	842	t_	tˉ	tˉ	voiceless postalveolar stop	vl postalveol stp		4	10	0113	20	FALSE	FALSE	007402C9									vl	postalveol				stp	
	363	843	t_h	tˉĥ	tˉĥ	voiceless aspirated postalveolar stop	vl aspirate postalveol stp					1	FALSE	FALSE	007402C90125							aspirate		vl	postalveol				stp	
	364	402	d_	dˉ	dˉ	voiced postalveolar stop	vd postalveol stp		4	11	0114	6	FALSE	FALSE	006402C9									vd	postalveol				stp	
	365	403	d_*	d·ˉ	d·ˉ	creaky-voiced voiced postalveolar stop	creaky vd postalveol stp					1	FALSE	FALSE	0064038702C9							creaky		vd	postalveol				stp	
	366	405	d_n	dˉņ	dˉņ	nasal-release voiced postalveolar stop	nasrel vd postalveol stp					1	FALSE	FALSE	006402C90146						nasrel			vd	postalveol				stp	
	367	668	nd_	nˉdˉ	nˉdˉ	prenasalized voiced postalveolar stop	prenazad vd postalveol stp					4	FALSE	FALSE	006E02C9006402C9								prenazad	vd	postalveol				stp	
	368	679	nt.	ńT	ńT	prenasalized voiceless retroflex stop	prenazad vl retro stp					2	FALSE	FALSE	01440054								prenazad	vl	retro				stp	
	369	802	t.	T	T	voiceless retroflex stop	vl retro stp		4	12	0115	34	FALSE	FALSE	0054									vl	retro				stp	
	370	803	t.*	T·	T·	creaky-voiced voiceless retroflex stop	creaky vl retro stp					1	FALSE	FALSE	00540387							creaky		vl	retro				stp	
	371	805	t.h	Tĥ	Tĥ	voiceless aspirated retroflex stop	vl aspirate retro stp					10	FALSE	FALSE	00540125							aspirate		vl	retro				stp	
	372	961		T'	T'	voiceless retroflex ejective stop	vl retro ejective stp						FALSE	FALSE	00540027									vl	retro		ejective		stp	
	373	962		T►	T►	long voiceless retroflex stop	long vl retro stp						FALSE	FALSE	005425BA					long				vl	retro				stp	
	374	378	d.	D	D	voiced retroflex stop	vd retro stp		4	13	0116	27	FALSE	FALSE	0044									vd	retro				stp	
	375	379	d.*	D·	D·	creaky-voiced voiced retroflex stop	creaky vd retro stp					1	FALSE	FALSE	00440387							creaky		vd	retro				stp	
	376	382	d.n	Dņ	Dņ	nasal-release voiced retroflex stop	nasrel vd retro stp					1	FALSE	FALSE	00440146						nasrel			vd	retro				stp	
	377	662	nd.	ńD	ńD	prenasalized voiced retroflex stop	prenazad vd retro stp					1	FALSE	FALSE	01440044								prenazad	vd	retro				stp	
	378	381	d.h	D΄	D΄	breathy-voiced retroflex stop	breathy retro stp					9	FALSE	FALSE	00440384							breathy			retro				stp	
	379	958		c˙	c˙	voiceless palatal retroflex stop	vl palatal retro stp						FALSE	FALSE	006302D9									vl	retro				stp	
	380	364	c	c	c	voiceless palatal stop	vl palatal stp		4	14	0117	54	FALSE	FALSE	0063									vl	palatal				stp	
	381	365	c'	c'	c'	voiceless palatal ejective stop	vl palatal ejective stp					9	FALSE	FALSE	00630027									vl	palatal		ejective		stp	
	382	366	c:	c►	c►	long voiceless palatal stop	long vl palatal stp					1	FALSE	FALSE	006325BA					long				vl	palatal				stp	
	383	373	ch	cĥ	cĥ	voiceless aspirated palatal stop	vl aspirate palatal stp					17	FALSE	FALSE	00630125							aspirate		vl	palatal				stp	
	384	659	nc	Ņc	Ņc	prenasalized voiceless palatal stop	prenazad vl palatal stp					1	FALSE	FALSE	01450063								prenazad	vl	palatal				stp	
	385	406	dj	J	J	voiced palatal stop	vd palatal stp		4	15	0118	43	FALSE	FALSE	004A									vd	palatal				stp	
	386	407	dj*	J·	J·	creaky-voiced voiced palatal stop	creaky vd palatal stp					1	FALSE	FALSE	004A0387							creaky		vd	palatal				stp	
	387	408	dj:	J►	J►	long voiced palatal stop	long vd palatal stp					1	FALSE	FALSE	004A25BA					long				vd	palatal				stp	
	388	669	ndj	ŅJ	ŅJ	prenasalized voiced palatal stop	prenazad vd palatal stp					6	FALSE	FALSE	0145004A								prenazad	vd	palatal				stp	
	389	944		ŅJŵ	ŅJŵ	prenasalized labialized voiced palatal stop	prenazad labzd vd palatal stp						FALSE	FALSE	0145004A0175			labzd					prenazad	vd	palatal				stp	
	390	589	khh	kĤ	kĤ	voiceless velar stop with-breathy-release	vl velar stp wbr					2	FALSE	FALSE	006B0124									vl	velar				stp	wbr
	391	231	Nk	ŋk	ŋk	prenasalized voiceless velar stop	prenazad vl velar stp					6	FALSE	FALSE	014B006B								prenazad	vl	velar				stp	
	392	232	NkJ	ŋkĵ	ŋkĵ	prenasalized palatalized voiceless velar stop	prenazad palzd vl velar stp					1	FALSE	FALSE	014B006B0135				palzd				prenazad	vl	velar				stp	
	393	233	NkW	ŋkŵ	ŋkŵ	prenasalized labialized voiceless velar stop	prenazad labzd vl velar stp					1	FALSE	FALSE	014B006B0175			labzd					prenazad	vl	velar				stp	
	394	234	Nkh	ŋkĥ	ŋkĥ	prenasalized voiceless aspirated velar stop	prenazad vl aspirate velar stp					1	FALSE	FALSE	014B006B0125							aspirate	prenazad	vl	velar				stp	
	395	489	hk	ĥk	ĥk	voiceless preaspirated velar stop	vl preasp velar stp					1	FALSE	FALSE	0125006B								preasp	vl	velar				stp	
	396	575	k	k	k	voiceless velar stop	vl velar stp		4	16	0119	403	FALSE	FALSE	006B									vl	velar				stp	
	397	576	k'	k'	k'	voiceless velar ejective stop	vl velar ejective stp					63	FALSE	FALSE	006B0027									vl	velar		ejective		stp	
	398	577	k*	k·	k·	creaky-voiced voiceless velar stop	creaky vl velar stp					6	FALSE	FALSE	006B0387							creaky		vl	velar				stp	
	399	578	k9	kſ	kſ	pharyngealized voiceless velar stop	pharzd vl velar stp					1	FALSE	FALSE	006B017F				pharzd					vl	velar				stp	
	400	579	k:	k►	k►	long voiceless velar stop	long vl velar stp					3	FALSE	FALSE	006B25BA					long				vl	velar				stp	
	401	580	kJ	kĵ	kĵ	palatalized voiceless velar stop	palzd vl velar stp					13	FALSE	FALSE	006B0135				palzd					vl	velar				stp	
	402	581	kJ'	kĵ'	kĵ'	palatalized voiceless velar ejective stop	palzd vl velar ejective stp					3	FALSE	FALSE	006B01350027				palzd					vl	velar		ejective		stp	
	403	582	kJh	kĵĥ	kĵĥ	palatalized voiceless aspirated velar stop	palzd vl aspirate velar stp					3	FALSE	FALSE	006B01350125				palzd			aspirate		vl	velar				stp	
	404	583	kW	kŵ	kŵ	labialized voiceless velar stop	labzd vl velar stp					60	FALSE	FALSE	006B0175			labzd						vl	velar				stp	
	405	584	kW'	kŵ'	kŵ'	labialized voiceless velar ejective stop	labzd vl velar ejective stp					23	FALSE	FALSE	006B01750027			labzd						vl	velar		ejective		stp	
	406	585	kW*	k·ŵ	k·ŵ	creaky-voiced labialized voiceless velar stop	creaky labzd vl velar stp					2	FALSE	FALSE	006B03870175			labzd				creaky		vl	velar				stp	
	407	586	kW:	kŵ►	kŵ►	long labialized voiceless velar stop	long labzd vl velar stp					2	FALSE	FALSE	006B017525BA			labzd		long				vl	velar				stp	
	408	587	kWh	kŵĥ	kŵĥ	labialized voiceless aspirated velar stop	labzd vl aspirate velar stp					21	FALSE	FALSE	006B01750125			labzd				aspirate		vl	velar				stp	
	409	588	kh	kĥ	kĥ	voiceless aspirated velar stop	vl aspirate velar stp					103	FALSE	FALSE	006B0125							aspirate		vl	velar				stp	
	410	975		kĵŵ	kĵŵ	palatalized labialized voiceless velar stop	palzd labzd vl velar stp						FALSE	FALSE	006B01350175			labzd	palzd					vl	velar				stp	
	411	228	Ng	ŋg	ŋg	prenasalized voiced velar stop	prenazad vd velar stp					44	FALSE	FALSE	014B0067								prenazad	vd	velar				stp	
	412	229	NgW	ŋgŵ	ŋgŵ	prenasalized labialized voiced velar stop	prenazad labzd vd velar stp					10	FALSE	FALSE	014B00670175			labzd					prenazad	vd	velar				stp	
	413	439	g	g	g	voiced velar stop	vd velar stp		4	17	0120	253	FALSE	FALSE	0067									vd	velar				stp	
	414	446	g'	g'	g'	voiced velar ejective stop	vd velar ejective stp					1	FALSE	FALSE	00670027									vd	velar		ejective		stp	
	415	462	gJ	gĵ	gĵ	palatalized voiced velar stop	palzd vd velar stp					7	FALSE	FALSE	00670135				palzd					vd	velar				stp	
	416	463	gL	gļ	gļ	lateral-release voiced velar stop	latrel vd velar stp					1	FALSE	FALSE	0067013C						latrel			vd	velar				stp	
	417	464	gW	gŵ	gŵ	labialized voiced velar stop	labzd vd velar stp					24	FALSE	FALSE	00670175			labzd						vd	velar				stp	
	418	469	gn	gņ	gņ	nasal-release voiced velar stop	nasrel vd velar stp					1	FALSE	FALSE	00670146						nasrel			vd	velar				stp	
	419	966		gĵŵ	gĵŵ	palatalized labialized voiced velar stop	palzd labzd vd velar stp						FALSE	FALSE	006701350175			labzd	palzd					vd	velar				stp	
	420	969		gĥ	gĥ	aspirated voiced velar stop	aspirate vd velar stp						FALSE	FALSE	00670125							aspirate		vd	velar				stp	
	421	970		gĥŵ	gĥŵ	aspirated labialized voiced velar stop	aspirate labzd vd velar stp						FALSE	FALSE	006701250175			labzd				aspirate		vd	velar				stp	
	422	465	gWh	g΄ŵ	g΄ŵ	labialized breathy-voiced velar stop	labzd breathy velar stp					1	FALSE	FALSE	006703840175			labzd				breathy			velar				stp	
	423	468	gh	g΄	g΄	breathy-voiced velar stop	breathy velar stp					10	FALSE	FALSE	00670384							breathy			velar				stp	
	424	237	Nq	Nq	Nq	prenasalized voiceless uvular stop	prenazad vl uvular stp					1	FALSE	FALSE	004E0071								prenazad	vl	uvular				stp	
	425	238	Nqh	Nqĥ	Nqĥ	prenasalized voiceless aspirated uvular stop	prenazad vl aspirate uvular stp					1	FALSE	FALSE	004E00710125							aspirate	prenazad	vl	uvular				stp	
	426	737	q	q	q	voiceless uvular stop	vl uvular stp		4	18	0123	52	FALSE	FALSE	0071									vl	uvular				stp	
	427	738	q'	q'	q'	voiceless uvular ejective stop	vl uvular ejective stp					26	FALSE	FALSE	00710027									vl	uvular		ejective		stp	
	428	739	q*	q·	q·	creaky-voiced voiceless uvular stop	creaky vl uvular stp					1	FALSE	FALSE	00710387							creaky		vl	uvular				stp	
	429	740	q9'	qſ'	qſ'	pharyngealized voiceless uvular ejective stop	pharzd vl uvular ejective stp					1	FALSE	FALSE	0071017F0027				pharzd					vl	uvular		ejective		stp	
	430	741	q9h	qſĥ	qſĥ	pharyngealized voiceless aspirated uvular stop	pharzd vl aspirate uvular stp					1	FALSE	FALSE	0071017F0125				pharzd			aspirate		vl	uvular				stp	
	431	742	q:	q►	q►	long voiceless uvular stop	long vl uvular stp					1	FALSE	FALSE	007125BA					long				vl	uvular				stp	
	432	744	qW	qŵ	qŵ	labialized voiceless uvular stop	labzd vl uvular stp					12	FALSE	FALSE	00710175			labzd						vl	uvular				stp	
	433	745	qW'	qŵ'	qŵ'	labialized voiceless uvular ejective stop	labzd vl uvular ejective stp					11	FALSE	FALSE	007101750027			labzd						vl	uvular		ejective		stp	
	434	746	qW*	q·ŵ	q·ŵ	creaky-voiced labialized voiceless uvular stop	creaky labzd vl uvular stp					1	FALSE	FALSE	007103870175			labzd				creaky		vl	uvular				stp	
	435	747	qW9'	qŵſ'	qŵſ'	labialized pharyngealized voiceless uvular ejective stop	labzd pharzd vl uvular ejective stp					1	FALSE	FALSE	00710175017F0027			labzd	pharzd					vl	uvular		ejective		stp	
	436	748	qW9h	qŵſĥ	qŵſĥ	labialized pharyngealized voiceless aspirated uvular stop	labzd pharzd vl aspirate uvular stp					1	FALSE	FALSE	00710175017F0125			labzd	pharzd			aspirate		vl	uvular				stp	
	437	749	qW:	qŵ►	qŵ►	long labialized voiceless uvular stop	long labzd vl uvular stp					1	FALSE	FALSE	0071017525BA			labzd		long				vl	uvular				stp	
	438	750	qWh	qŵĥ	qŵĥ	labialized voiceless aspirated uvular stop	labzd vl aspirate uvular stp					4	FALSE	FALSE	007101750125			labzd				aspirate		vl	uvular				stp	
	439	762	qh	qĥ	qĥ	voiceless aspirated uvular stop	vl aspirate uvular stp					17	FALSE	FALSE	00710125							aspirate		vl	uvular				stp	
	440	209	G!1	G	G	voiced uvular stop	vd uvular stp		4	19	0124	18	FALSE	FALSE	0047									vd	uvular				stp	
	441	211	G!W	Gŵ	Gŵ	labialized voiced uvular stop	labzd vd uvular stp					1	FALSE	FALSE	00470175			labzd						vd	uvular				stp	
	442	212	G9	Gſ	Gſ	pharyngealized voiced uvular stop	pharzd vd uvular stp					1	FALSE	FALSE	0047017F				pharzd					vd	uvular				stp	
	443	213	GW9	Gŵſ	Gŵſ	labialized pharyngealized voiced uvular stop	labzd pharzd vd uvular stp					1	FALSE	FALSE	00470175017F			labzd	pharzd					vd	uvular				stp	
	444	172	99	ß	ß	voiced epiglottal stop	vd epiglott stp		4	21	0130	3	FALSE	FALSE	00DF									vd	epiglott				stp	
	445	175	??	?ˇ	?ˇ	voiced glottal stop	vd glottal stp		4	23	0132	1	FALSE	FALSE	003F02C7									vd	glottal				stp	
	446	173	?	?	?	voiceless glottal stop	vl glottal stp		4	22	0131	216	FALSE	FALSE	003F									vl	glottal				stp	
	447	174	?9	?ſ	?ſ	pharyngealized voiceless glottal stop	pharzd vl glottal stp					2	FALSE	FALSE	003F017F				pharzd					vl	glottal				stp	
	448	176	?W	?ŵ	?ŵ	labialized voiceless glottal stop	labzd vl glottal stp					1	FALSE	FALSE	003F0175			labzd						vl	glottal				stp	
	449	727	p<	Β°	Β°	voiceless bilabial implosive	vl bilabial implosiv		4	24	0201	2	FALSE	FALSE	039200B0									vl	bilabial				implosiv	
	450	354	b<	Β	Β	voiced bilabial implosive	vd bilabial implosiv		4	25	0202	49	FALSE	FALSE	0392									vd	bilabial				implosiv	
	451	357	bJ<	Βĵ	Βĵ	palatalized voiced bilabial implosive	palzd vd bilabial implosiv					1	FALSE	FALSE	03920135				palzd					vd	bilabial				implosiv	
	452	967		ğΒ―	ğΒ―	voiced labial-velar implosive	vd labvel implosiv		4	27	0208		FALSE	FALSE	011F03922015									vd	labvel				implosiv	
	453	390	dD<	đ··	đ··	voiced dental implosive	vd dental implosiv					3	FALSE	FALSE	011100B700B7									vd	dental				implosiv	
	454	813	t<	đ°	đ°	voiceless alveolar implosive	vl alveolar implosiv		4	28	0211	2	FALSE	FALSE	011100B0									vl	alveolar				implosiv	
	455	385	d<	đ	đ	voiced alveolar implosive	vd alveolar implosiv		4	29	0212	23	FALSE	FALSE	0111									vd	alveolar				implosiv	
	456	404	d_<	đˉ	đˉ	voiced postalveolar implosive	vd postalveol implosiv					1	FALSE	FALSE	011102C9									vd	postalveol				implosiv	
	457	380	d.<	Đ	Đ	voiced retroflex implosive	vd retro implosiv		4	31	0216	1	FALSE	FALSE	0110									vd	retro				implosiv	
	458	409	dj<	ƒ	ƒ	voiced palatal implosive	vd palatal implosiv		4	33	0218	10	FALSE	FALSE	0192									vd	palatal				implosiv	
	459	455	g<	ğ	ğ	voiced velar implosive	vd velar implosiv		4	35	0220	5	FALSE	FALSE	011F									vd	velar				implosiv	
	460	743	q<	Ğ°	Ğ°	voiceless uvular implosive	vl uvular implosiv		4	36	0223	1	FALSE	FALSE	011E00B0									vl	uvular				implosiv	
	461	210	G!<	Ğ	Ğ	voiced uvular implosive	vd uvular implosiv		4	37	0224	0	FALSE	FALSE	011E									vd	uvular				implosiv	
	462	501	hm	m°	m°	voiceless bilabial nasal	vl bilabial nasal		4	118	1101	17	FALSE	FALSE	006D00B0									vl	bilabial				nasal	
	463	623	m	m	m	voiced bilabial nasal	vd bilabial nasal		4	119	1102	425	FALSE	FALSE	006D									vd	bilabial				nasal	
	464	624	m*	m·	m·	creaky-voiced voiced bilabial nasal	creaky vd bilabial nasal					14	FALSE	FALSE	006D0387							creaky		vd	bilabial				nasal	
	465	625	m:	m►	m►	long voiced bilabial nasal	long vd bilabial nasal					3	FALSE	FALSE	006D25BA					long				vd	bilabial				nasal	
	466	627	mJ	mĵ	mĵ	palatalized voiced bilabial nasal	palzd vd bilabial nasal					10	FALSE	FALSE	006D0135				palzd					vd	bilabial				nasal	
	467	628	mW	mŵ	mŵ	labialized voiced bilabial nasal	labzd vd bilabial nasal					5	FALSE	FALSE	006D0175			labzd						vd	bilabial				nasal	
	468	629	mW-	mĝŵ	mĝŵ	labialized velarized voiced bilabial nasal	labzd velzd vd bilabial nasal					1	FALSE	FALSE	006D011D0175			labzd	velzd					vd	bilabial				nasal	
	469	930		?m	?m	preglottalized voiced bilabial nasal	pglot vd bilabial nasal						FALSE	FALSE	003F006D								pglot	vd	bilabial				nasal	
	470	978		m'	m'	voiced bilabial ejective nasal	vd bilabial ejective nasal						FALSE	FALSE	006D0027									vd	bilabial		ejective		nasal	
	471	979		mĝ	mĝ	velarized voiced bilabial nasal	velzd vd bilabial nasal						FALSE	FALSE	006D011D				velzd					vd	bilabial				nasal	
	472	980		mĥ	mĥ	aspirated voiced bilabial nasal	aspirate vd bilabial nasal						FALSE	FALSE	006D0125							aspirate		vd	bilabial				nasal	
	473	981		mŵ'	mŵ'	labialized voiced bilabial ejective nasal	labzd vd bilabial ejective nasal						FALSE	FALSE	006D01750027			labzd						vd	bilabial		ejective		nasal	
	474	633	mh	m΄	m΄	breathy-voiced bilabial nasal	breathy bilabial nasal					4	FALSE	FALSE	006D0384							breathy			bilabial				nasal	
	475	626	mD	M	M	voiced labiodental nasal	vd labdent nasal		4	121	1104	1	FALSE	FALSE	004D									vd	labdent				nasal	
	476	482	hNm	ŋ°m°―	ŋ°m°―	voiceless labial-velar nasal	vl labvel nasal		4	122	1107	1	FALSE	FALSE	014B00B0006D00B02015									vl	labvel				nasal	
	477	235	Nm	ŋm―	ŋm―	voiced labial-velar nasal	vd labvel nasal		4	123	1108	7	FALSE	FALSE	014B006D2015									vd	labvel				nasal	
	478	518	hnD	n·°	n·°	voiceless dental nasal	vl dental nasal		4	124	1109	2	FALSE	FALSE	006E00B700B0									vl	dental				nasal	
	479	650	nD!	n·	n·	voiced dental nasal	vd dental nasal		4	125	1110	83	FALSE	FALSE	006E00B7									vd	dental				nasal	
	480	651	nD!J	n·ĵ	n·ĵ	palatalized voiced dental nasal	palzd vd dental nasal					1	FALSE	FALSE	006E00B70135				palzd					vd	dental				nasal	
	481	652	nD*	n··	n··	creaky-voiced voiced dental nasal	creaky vd dental nasal					2	FALSE	FALSE	006E00B70387							creaky		vd	dental				nasal	
	482	653	nDh	n·΄	n·΄	breathy-voiced dental nasal	breathy dental nasal					1	FALSE	FALSE	006E00B70384							breathy			dental				nasal	
	483	502	hn	n°	n°	voiceless alveolar nasal	vl alveolar nasal		4	126	1111	4	FALSE	FALSE	006E00B0									vl	alveolar				nasal	
	484	510	hn-	n°ĝ	n°ĝ	velarized voiceless alveolar nasal	velzd vl alveolar nasal					1	FALSE	FALSE	006E00B0011D				velzd					vl	alveolar				nasal	
	485	519	hnJ!	ŋ°ĵ	ŋ°ĵ	palatalized voiceless alveolar nasal	palzd vl alveolar nasal					1	FALSE	FALSE	014B00B00135				palzd					vl	alveolar				nasal	
