								
	CodeStat	NomValeurStat	SelecteSup	SelecteInf	Selecte1Sup	Selecte1Inf		NomValeurStat Anglais
	3653	flap ejective	0	0	0	0		
	3654	flap glottalized	0	0	0	0		
	3655	flap labialized	0	0	0	0		
	3656	flap lateral-release	0	0	0	0		
	3657	flap long	0	0	0	0		
	3658	flap nasal-release	0	0	0	0		
	3659	flap palatalized	0	0	0	0		
	3660	flap pharyngealized	0	0	0	0		
	3661	flap preaspirated	0	0	0	0		
	3662	flap preglottalized	0	0	0	0		
	3663	flap prenasalized	0	0	0	0		
	3664	flap prestopped	0	0	0	0		
	3665	flap sibilant	0	0	0	0		
	3666	flap velar-fricated	0	0	0	0		
	3667	flap velarized	0	0	0	0		
	3668	flap voiced	0	0	0	0		
	3669	flap voiceless	0	0	0	0		
	3670	flap with-breathy-release	0	0	0	0		
	3700	r-sound	0	0	0	0		
	3701	r-sound bilabial	0	0	0	0		
	3702	r-sound labiodental	0	0	0	0		
	3703	r-sound labial-palatal	0	0	0	0		
	3704	r-sound labial-velar	0	0	0	0		
	3705	r-sound dental	0	0	0	0		
	3706	r-sound alveolar	0	0	0	0		
	3707	r-sound postalveolar	0	0	0	0		
	3708	r-sound retroflex	0	0	0	0		
	3709	r-sound palatal	0	0	0	0		
	3710	r-sound velar	0	0	0	0		
	3711	r-sound velar-alveolar	0	0	0	0		
	3712	r-sound uvular	0	0	0	0		
	3713	r-sound pharyngeal	0	0	0	0		
	3714	r-sound epiglottal	0	0	0	0		
	3715	r-sound glottal	0	0	0	0		
	3716	r-sound laryngeal	0	0	0	0		
	3750	r-sound aspirated	0	0	0	0		
	3751	r-sound breathy-voiced	0	0	0	0		
	3752	r-sound creaky-voiced	0	0	0	0		
	3753	r-sound ejective	0	0	0	0		
	3754	r-sound glottalized	0	0	0	0		
	3755	r-sound labialized	0	0	0	0		
	3756	r-sound lateral-release	0	0	0	0		
	3757	r-sound long	0	0	0	0		
	3758	r-sound nasal-release	0	0	0	0		
	3759	r-sound palatalized	0	0	0	0		
	3760	r-sound pharyngealized	0	0	0	0		
	3761	r-sound preaspirated	0	0	0	0		
	3762	r-sound preglottalized	0	0	0	0		
	3763	r-sound prenasalized	0	0	0	0		
	3764	r-sound prestopped	0	0	0	0		
	3765	r-sound sibilant	0	0	0	0		
	3766	r-sound velar-fricated	0	0	0	0		
	3767	r-sound velarized	0	0	0	0		
	3768	r-sound voiced	0	0	0	0		
	3769	r-sound voiceless	0	0	0	0		
	3770	r-sound with-breathy-release	0	0	0	0		
	3800	fricative	0	0	0	0		
	3801	fricative bilabial	0	0	0	0		
	3802	fricative labiodental	0	0	0	0		
	3803	fricative labial-palatal	0	0	0	0		
	3804	fricative labial-velar	0	0	0	0		
	3805	fricative dental	0	0	0	0		
	3806	fricative alveolar	0	0	0	0		
	3807	fricative postalveolar	0	0	0	0		
	3808	fricative retroflex	0	0	0	0		
	3809	fricative palatal	0	0	0	0		
	3810	fricative velar	0	0	0	0		
	3811	fricative velar-alveolar	0	0	0	0		
	3812	fricative uvular	0	0	0	0		
	3813	fricative pharyngeal	0	0	0	0		
	3814	fricative epiglottal	0	0	0	0		
	3815	fricative glottal	0	0	0	0		
	3816	fricative laryngeal	0	0	0	0		
	3850	fricative aspirated	0	0	0	0		
	3851	fricative breathy-voiced	0	0	0	0		
	3852	fricative creaky-voiced	0	0	0	0		
	3853	fricative ejective	0	0	0	0		
	3854	fricative glottalized	0	0	0	0		
	3855	fricative labialized	0	0	0	0		
	3856	fricative lateral-release	0	0	0	0		
	3857	fricative long	0	0	0	0		
	3858	fricative nasal-release	0	0	0	0		
	3859	fricative palatalized	0	0	0	0		
	3860	fricative pharyngealized	0	0	0	0		
	3861	fricative preaspirated	0	0	0	0		
	3862	fricative preglottalized	0	0	0	0		
	3863	fricative prenasalized	0	0	0	0		
	3864	fricative prestopped	0	0	0	0		
	3865	fricative sibilant	0	0	0	0		
	3866	fricative velar-fricated	0	0	0	0		
	3867	fricative velarized	0	0	0	0		
	3868	fricative voiced	0	0	0	0		
	3869	fricative voiceless	0	0	0	0		
	3870	fricative with-breathy-release	0	0	0	0		
	3900	affricate	0	0	0	0		
	3901	affricate bilabial	0	0	0	0		
	3902	affricate labiodental	0	0	0	0		
	3903	affricate labial-palatal	0	0	0	0		
	3904	affricate labial-velar	0	0	0	0		
	3905	affricate dental	0	0	0	0		
	3906	affricate alveolar	0	0	0	0		
	3907	affricate postalveolar	0	0	0	0		
	3908	affricate retroflex	0	0	0	0		
	3909	affricate palatal	0	0	0	0		
	3910	affricate velar	0	0	0	0		
	3911	affricate velar-alveolar	0	0	0	0		
	3912	affricate uvular	0	0	0	0		
	3913	affricate pharyngeal	0	0	0	0		
	3914	affricate epiglottal	0	0	0	0		
	3915	affricate glottal	0	0	0	0		
	3916	affricate laryngeal	0	0	0	0		
	3950	affricate aspirated	0	0	0	0		
	3951	affricate breathy-voiced	0	0	0	0		
	3952	affricate creaky-voiced	0	0	0	0		
	3953	affricate ejective	0	0	0	0		
