							
	Nom	Famille	Code	NbSegment	Selecte	Selecte1	CodeBase
	KOLOKUMA IJO	Niger-Kordofanian, Kwa	4150	37	FALSE	FALSE	10
	KOMA	Nilo-Saharan, Koman	4220	31	FALSE	FALSE	10
	KOMI	Ural-Altaic, Finno-Ugric, Finnic	2152	33	FALSE	FALSE	10
	KONKANI	Indo-European, Indic	2024	37	FALSE	FALSE	10
	KONYAGI	Niger-Kordofanian, West-Atlantic	4145	46	FALSE	FALSE	10
	KOREAN	Ural-Altaic, Korean	2170	32	FALSE	FALSE	10
	KORYAK	Chukchi-Kamchatkan	2709	21	FALSE	FALSE	10
	KOTA	Dravidian, Dravidian	2903	28	FALSE	FALSE	10
	KOTOKO	Afro-Asiatic, Chadic	4373	36	FALSE	FALSE	10
	KOYA	Dravidian, Dravidian	2905	24	FALSE	FALSE	10
	KPAN	Niger-Kordofanian, Jukunoid	4135	34	FALSE	FALSE	10
	KPELLE	Niger-Kordofanian, Mande	4103	34	FALSE	FALSE	10
	KULLO	Afro-Asiatic, Omotic	4362	29	FALSE	FALSE	10
	KUNAMA	Nilo-Saharan, Kunama	4219	26	FALSE	FALSE	10
	KUNIMAIPA	Papuan, Trans-New-Guinea	8620	20	FALSE	FALSE	10
	KURDISH	Indo-European, Iranian	2015	47	FALSE	FALSE	10
	KURUKH	Dravidian, Dravidian	2904	32	FALSE	FALSE	10
	KWAIO	Austro-Tai, Austronesian, East-Malayo-Polynesian	2433	21	FALSE	FALSE	10
	KWAKW ALA	North-American, Almosan	6731	48	FALSE	FALSE	10
	KWOMA	Papuan, Sepik-Ramu	8602	31	FALSE	FALSE	10
	LAHU	Sino-Tibetan, Lolo-Burmese	2510	35	FALSE	FALSE	10
	LAI	Austro-Tai, Li-Kam-Tai	2432	52	FALSE	FALSE	10
	LAK	Caucasian	2602	69	FALSE	FALSE	10
	LAKES PLAIN	Papuan, Geelvink-Bay	1028	12	FALSE	FALSE	20
