BdprotoID	LanguageName	GlottologID	GlottologNotes	LanguageFamilyRoot	Family	Classification	TimeDepthInventorySource	TimeDepthDateSource	TimeDepth	"Homeland Data"	Url	FileName	Notes	NotesPatrick	InventorySource	DateSource	HomelandSource
1044	PROTO-NUBIAN	nubi1251		nsah	Nilo-Saharan	"Nilo-Saharan, East-Sudanic"		"first millenium BC"	-3000	Kordofan	http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1044	LG1044.txt			gerst1989	rilly2009cradle	rilly2009cradle
1115	PROTO-POMO	pomo1273		hoka	North-American	"North-American, Hokan"			-5000	"Clear Lake"	http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1115	LG1115.txt			mclendon1973	golla2011california	golla2011california
1105	PROTO-VIETNAMESE	viet1252		ausa	Austro-Asiatic	"Austro-Asiatic, Vietmuong"		"seventh to ninth century AD"	-1300	"Red River now Northern Vietnam"	http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1105	LG1105.txt			ferlus1992	comrie2009world	chamberlain1998origin
1010	QUICHEAN	grea1276		calp	North-American	"North-American, Penutian"			-2000		http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1010	LG1010.txt			campbell1977	http://en.wikipedia.org/wiki/Mayan_languages#Quichean.E2.80.93Mamean	
1019	SABAKI	coas1317		nkrd	Niger-Kordofanian	"Niger-Kordofanian, Bantoid"			NA		http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1019	LG1019.txt			nurse1993		
1098	SALISH	sali1255		alms	North-American	"North-American, Almosa"			NA		http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1098	LG1098.txt			campbell1979		
1085	SAMOYED	samo1298		urlc	Ural-Altaic	"Ural-Altaic, Samoyed"	-7000/-6000		-6000		http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1085	LG1085.txt			sammallahti1988		
1001	SANGIRIC	sang1335		auth	Austro-Tai	"Austro-Tai, Austronesian, West-Malayo-Polynesian"			NA		http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1001	LG1001.txt			sneddon1984		
1092	"SARA BONGO BAGUIRMIAN"	sara1341		nsah	Nilo-Saharan	"Nilo-Saharan, Central-Sudanic"			NA		http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1092	LG1092.txt		"no squib"	"P. Boyeldieu, unpublished reconstruction"		
1080	SEMITIC	semi1276		afas	Afro-Asiatic	"Afro-Asiatic, Semitic"			-5750		http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1080	LG1080.txt			moscati1969	kitchen2009bayesian	
